nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,1.9675,0.6093,inf,,0.0073,0.0021,inf
RandomNN,1.4327,0.1544,1.4279,0.1744,0.0071,0.0028,0.0048
StrategyNN,1.4036,0.1695,1.4094,0.1793,3.5718,0.2082,0.0058
GeneticNN,1.073,0.0921,1.0736,0.1114,4.8825,0.3014,0.0006
AnnealedNN,2.4561,1.9719,4.1038,2.5332,0.0146,0.0009,1.6477
