nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,3.0527,0.9027,6.4208,3.3492,0.0042,0.0022,3.3681
RandomNN,2.17,0.2003,2.2009,0.2321,0.0033,0.001,0.0309
StrategyNN,2.1686,0.2664,2.1635,0.2656,27.5046,1.4561,0.0051
GeneticNN,1.8569,0.0574,1.8798,0.0899,43.5808,3.3569,0.0229
AnnealedNN,3.3972,1.9026,5.4808,3.2966,0.0161,0.001,2.0836
