nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,5.1219,1.8066,11.322,5.5038,0.0073,0.0022,6.2001
RandomNN,3.2823,0.6111,3.2756,0.6199,0.0059,0.0025,0.0067
StrategyNN,3.3793,0.779,3.3767,0.7993,4.2725,0.2334,0.0026
GeneticNN,2.2651,0.1065,2.289,0.1868,6.039,0.4258,0.0239
AnnealedNN,5.7829,3.2704,7.8181,4.0871,0.018,0.0014,2.0352
