nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,3.1975,1.1275,7.2958,3.7307,0.0038,0.0023
RandomNN,2.0798,0.1326,2.0971,0.1835,0.0129,0.0024
AnnealedNN,4.0252,2.0165,5.0769,2.7929,0.0369,0.0111
StrategyNN,1.9159,0.0309,1.9355,0.0581,115.0535,5.0797
GeneticNN,1.783,0.082,1.8148,0.1013,155.0234,9.0034
