nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,5.0974,1.7002,10.8183,5.2886,0.0074,0.0019,5.7209
RandomNN,3.0574,0.4375,3.0528,0.4775,0.0091,0.0021,0.0046
StrategyNN,2.4329,0.2387,2.435,0.2622,16.0305,0.6756,0.0021
GeneticNN,2.154,0.0652,2.1675,0.1441,20.6245,0.9993,0.0135
AnnealedNN,5.4472,3.3897,9.0481,4.9417,0.0336,0.0027,3.6009
