nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,3.047,0.9616,4.8865,2.2169,0.0031,0.002,1.8395
RandomNN,2.0612,0.1678,2.053,0.1822,0.0063,0.0105,0.0082
StrategyNN,1.8802,0.0735,1.8986,0.0785,91.7441,3.4822,0.0184
GeneticNN,1.5049,0.122,1.5333,0.138,124.3472,7.0259,0.0284
AnnealedNN,3.3459,2.347,5.6158,3.1195,0.0241,0.0018,2.2699
