nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,3.6279,1.4805,13.7481,6.5889,0.0044,0.0018,10.1202
RandomNN,2.2015,0.2258,2.195,0.2486,0.0063,0.0018,0.0065
StrategyNN,1.9239,0.0357,1.9501,0.0773,55.2781,2.8636,0.0262
GeneticNN,1.7685,0.0903,1.801,0.1244,73.4908,4.5724,0.0325
AnnealedNN,3.7982,2.7097,6.4182,3.5255,0.04,0.0028,2.62
