nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,3.4096,1.097,9.2039,3.9554,0.004,0.0018,5.7943
RandomNN,2.1307,0.2389,2.1405,0.2826,0.0057,0.001,0.0098
StrategyNN,1.8697,0.0751,1.8889,0.087,47.0626,3.9039,0.0192
GeneticNN,1.4285,0.1344,1.4387,0.1542,59.393,3.8174,0.0102
AnnealedNN,3.4653,1.7207,6.5049,3.8526,0.0295,0.0029,3.0396
