nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,2.3209,0.9176,inf,,0.0086,0.0015,inf
RandomNN,1.4265,0.1696,1.4308,0.184,0.0224,0.0039,0.0042999999999999705
AnnealedNN,3.4351,1.9653,4.2489,2.378,0.0481,0.0209,0.8138000000000001
StrategyNN,1.2539,0.0759,1.257,0.0855,18.4192,0.6572,0.0030999999999998806
GeneticNN,0.9412,0.094,0.9535,0.1098,22.0058,1.0572,0.012299999999999978
