nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,6.0301,2.2498,200431826.7346,908946107.3377,0.0085,0.0017
RandomNN,3.1441,0.5462,3.1494,0.5769,0.0195,0.0034
AnnealedNN,7.1986,3.998,8.6103,4.3291,0.0425,0.0174
StrategyNN,2.3984,0.2258,2.4112,0.2363,22.7374,0.8528
GeneticNN,2.1512,0.074,2.1808,0.1553,27.9201,1.5063
