nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,6.4173,2.3799,171798711.7864,844457829.2625,0.0085,0.0019,171798705.3691
RandomNN,3.5345,0.7829,3.5431,0.8368,0.0118,0.0033,0.0086
AnnealedNN,6.3257,2.7848,7.6945,3.7155,0.0247,0.0025,1.3688
StrategyNN,3.5269,0.9939,3.5335,0.9636,5.924,0.409,0.0066
GeneticNN,2.2973,0.1298,2.3242,0.2111,8.0228,0.5596,0.0269
