nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,3.6968,1.4248,13.929,6.9431,0.0043,0.0019,10.2322
RandomNN,2.3772,0.35,2.3803,0.3752,0.0037,0.0018,0.0031
StrategyNN,2.3186,0.4353,2.3274,0.4549,14.1927,0.8952,0.0088
GeneticNN,1.8455,0.0814,1.8729,0.1135,21.228,1.6921,0.0274
AnnealedNN,4.0882,2.7267,6.2878,3.5714,0.0218,0.0017,2.1996
