nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,2.4786,1.0061,inf,,0.0081,0.0021,inf
RandomNN,1.5145,0.2178,1.5247,0.2329,0.0095,0.0027,0.0102
StrategyNN,1.4589,0.2541,1.4538,0.2576,4.7382,0.3696,0.0051
GeneticNN,1.0707,0.0875,1.0906,0.1145,6.2675,0.4376,0.0199
AnnealedNN,2.7894,2.1242,4.723,2.8709,0.0193,0.0018,1.9336
