nnet,dataset,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,iris,3.4713,1.2094,9.5676,4.1881,0.0039,0.002,6.0963
BasicNN,wine,3.6968,1.4248,13.929,6.9431,0.0043,0.0019,10.2322
BasicNN,breast_cancer,2.4786,1.0061,inf,,0.0081,0.0021,inf
BasicNN,heart,5.9344,2.6232,143165596.4026,773553042.5087,0.0088,0.0024,143165590.4682
RandomNN,iris,2.3471,0.374,2.3677,0.4516,0.0036,0.0023,0.0206
RandomNN,wine,2.3772,0.35,2.3803,0.3752,0.0037,0.0018,0.0031
RandomNN,breast_cancer,1.5145,0.2178,1.5247,0.2329,0.0095,0.0027,0.0102
RandomNN,heart,3.5641,0.7955,3.5853,0.8041,0.0079,0.0028,0.0212
StrategyNN,iris,2.1928,0.316,2.2145,0.3298,12.1933,1.4932,0.0217
StrategyNN,wine,2.3186,0.4353,2.3274,0.4549,14.1927,0.8952,0.0088
StrategyNN,breast_cancer,1.4589,0.2541,1.4538,0.2576,4.7382,0.3696,0.0051
StrategyNN,heart,3.4823,0.8521,3.4853,0.8448,5.7192,0.3468,0.003
GeneticNN,iris,1.616,0.1223,1.6205,0.1859,17.4045,1.4103,0.0045
GeneticNN,wine,1.8455,0.0814,1.8729,0.1135,21.228,1.6921,0.0274
GeneticNN,breast_cancer,1.0707,0.0875,1.0906,0.1145,6.2675,0.4376,0.0199
GeneticNN,heart,2.293,0.112,2.3163,0.2145,8.0273,0.533,0.0233
AnnealedNN,iris,3.8334,2.2115,5.6189,2.8824,0.0159,0.0016,1.7855
AnnealedNN,wine,4.0882,2.7267,6.2878,3.5714,0.0218,0.0017,2.1996
AnnealedNN,breast_cancer,2.7894,2.1242,4.723,2.8709,0.0193,0.0018,1.9336
AnnealedNN,heart,6.3161,3.5932,9.4552,4.7701,0.0251,0.0017,3.1391
