nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,3.6609,1.4086,9.9917,4.3714,0.0043,0.0019
RandomNN,2.2734,0.2943,2.2951,0.3568,0.0063,0.0015
AnnealedNN,3.8674,1.8949,4.7183,2.2432,0.0211,0.0015
StrategyNN,2.174,0.3133,2.175,0.3291,12.266,1.2158
GeneticNN,1.6192,0.119,1.6488,0.1575,17.4116,1.2936
