dataset,seed,epoch,fitness
iris,3,0.0,206.59176324057728
iris,3,1.0,119.29528929987745
iris,3,2.0,185.62982148764652
iris,3,3.0,106.56028013217568
iris,3,4.0,103.72387651914548
iris,3,0.0,288.8247269304396
iris,3,1.0,79.6453837276951
iris,3,2.0,140.68786801224184
iris,3,3.0,79.2811441456586
iris,3,4.0,74.85920027090991
iris,3,0.0,43.869268096264555
iris,3,1.0,15.85946574588979
iris,3,2.0,29.764214117567803
iris,3,3.0,15.81366268192115
iris,3,4.0,16.605428114311678
iris,3,0.0,16.742760825165657
iris,3,1.0,112.680258993544
iris,3,2.0,29.225342927171194
iris,3,3.0,40.55715014218722
iris,3,4.0,23.37177275409512
iris,3,0.0,242.60737289469242
iris,3,1.0,118.02601709085212
iris,3,2.0,131.1021508327234
iris,3,3.0,91.30162519739149
iris,3,4.0,80.46131894749851
wine,3,0.0,726.1173947912308
wine,3,1.0,266.64628155463214
wine,3,2.0,338.2196513772794
wine,3,3.0,263.4767528236822
wine,3,4.0,228.7586619827122
wine,3,0.0,34.03572511479631
wine,3,1.0,43.4620164186534
wine,3,2.0,33.61534448402508
wine,3,3.0,34.123772412512295
wine,3,4.0,34.60504881404846
wine,3,0.0,64.06745325203742
wine,3,1.0,59.24675940913403
wine,3,2.0,41.28444610399874
wine,3,3.0,38.92421291764224
wine,3,4.0,39.08534130617673
wine,3,0.0,563.2052648580071
wine,3,1.0,262.7608780732419
wine,3,2.0,344.03866502542996
wine,3,3.0,246.7655895117342
wine,3,4.0,192.2542894801834
wine,3,0.0,212.4563183873773
wine,3,1.0,63.26356752290017
wine,3,2.0,102.10544223580631
wine,3,3.0,66.19223203830526
wine,3,4.0,63.489572479001694
breast_cancer,3,0.0,885.5998818717327
breast_cancer,3,1.0,411.9876447772584
breast_cancer,3,2.0,534.0818842563681
breast_cancer,3,3.0,395.1527657258232
breast_cancer,3,4.0,391.05695975024
breast_cancer,3,0.0,2881.046764023806
breast_cancer,3,1.0,972.9780901418555
breast_cancer,3,2.0,1691.9939525920875
breast_cancer,3,3.0,1000.7939285470458
breast_cancer,3,4.0,961.8335474845642
breast_cancer,3,0.0,446.00615610027734
breast_cancer,3,1.0,397.33148117573603
breast_cancer,3,2.0,396.96841678290133
breast_cancer,3,3.0,388.09632702047736
breast_cancer,3,4.0,370.45108345560067
breast_cancer,3,0.0,395.99722024432367
breast_cancer,3,1.0,373.4868564351235
breast_cancer,3,2.0,377.42808620820335
breast_cancer,3,3.0,376.3134195351585
breast_cancer,3,4.0,376.08614263254947
breast_cancer,3,0.0,412.74565227474915
breast_cancer,3,1.0,375.5237437878654
breast_cancer,3,2.0,369.29393623839854
breast_cancer,3,3.0,365.0620790383834
breast_cancer,3,4.0,367.23811274722925
heart,3,0.0,354.53744277939995
heart,3,1.0,147.85774439580308
heart,3,2.0,164.76132644250217
heart,3,3.0,121.11586764159092
heart,3,4.0,107.33326091815951
heart,3,0.0,535.3807026681225
heart,3,1.0,42.01103173016516
