dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,0.0,615.0980326335547,83.11046333007735,1.7012703411501313
iris,3,1.0,981.305766640686,42.09617267798622,0.0004051016764591964
iris,3,2.0,2132.9915560366667,29.43182207192194,9.943559911107514e-06
iris,3,3.0,1992.5552078382468,20.653262855492766,2.388460681383246e-07
iris,3,4.0,2032.1586296133926,16.32378581104084,2.388460681383246e-07
iris,3,0.0,1128.5401985937854,71.51346565401228,27.2488250364681
iris,3,1.0,984.3411031639381,45.43182966298761,27.69290771120657
iris,3,2.0,984.3411031639381,39.20670015356341,62.03000507789896
iris,3,3.0,954.3601809924735,12.897440895151366,62.03000507789896
iris,3,4.0,1364.6262448508157,12.676038793393342,89.45101415807387
iris,3,0.0,824.1210599153526,100.13030734188462,10.180945328800323
iris,3,1.0,1939.9805972519155,42.19872424948845,10.180945328800323
iris,3,2.0,2048.9404002476326,22.58870789798176,10.180945328800323
iris,3,3.0,1939.9805972519155,22.780412766605878,10.180424943351209
iris,3,4.0,1422.6396673955567,20.27779712507762,10.180424943351209
iris,3,0.0,607.2179921740511,110.1825035588089,5.986207140577322
iris,3,1.0,607.2179921740511,51.84541062714449,5.986207140577322
iris,3,2.0,884.335514924089,41.4413339503851,5.888190233308196
iris,3,3.0,1697.7337329995592,17.240519514735634,5.791059462517095
iris,3,4.0,2017.986304238832,12.93843397494138,5.791059462517095
iris,3,0.0,722.0725849859276,101.33112731267256,5.788826456619197
iris,3,1.0,933.6055951792284,60.43870534236527,5.784527939367867
iris,3,2.0,1716.6356033919194,24.233765426720176,5.784527939367867
iris,3,3.0,1716.6356033919194,22.468283454483235,5.783546666419583
iris,3,4.0,1736.5546005219758,18.897837578879155,5.783546666419583
wine,3,0.0,780.9084471290934,89.02734211200914,14.578754714793128
wine,3,1.0,1540.0235279554008,49.1578263070463,14.578754714793128
wine,3,2.0,1704.1051871039285,31.475403437700486,14.570298782126958
wine,3,3.0,1704.1051871039285,30.39886238503049,14.570298782126958
wine,3,4.0,1704.1051871039285,20.705647317709598,14.541504721451664
wine,3,0.0,912.828659445559,73.84471512793552,33.54153073788713
wine,3,1.0,1103.3164635979365,55.11738018029694,33.54153073788713
wine,3,2.0,1779.1522952682424,49.7265221953323,33.54153073788713
wine,3,3.0,1779.1522952682424,43.33447097741339,33.54153073788713
wine,3,4.0,1956.1886406463307,40.683642045325676,33.54153073788713
wine,3,0.0,824.1565409874911,106.48090935731871,38.73183508953
wine,3,1.0,1423.3480264305922,63.01796668824659,38.729965691433364
wine,3,2.0,1024.738414586784,61.440297362421845,38.70723283033344
wine,3,3.0,1389.5615931742775,62.622667506174025,38.70723283033344
wine,3,4.0,1652.286829438711,66.14680389416968,38.7072328301947
wine,3,0.0,797.6271717449915,124.3280506195309,27.990825120160242
wine,3,1.0,797.6271717449915,64.05809123319166,27.964340069437025
wine,3,2.0,1267.322561813534,45.30873040879587,27.954088653440618
wine,3,3.0,1267.3225824614474,39.64595677826755,27.954088653440618
wine,3,4.0,1339.9389232388214,36.428879061525066,27.954088642173147
wine,3,0.0,786.481447996212,116.05924156592604,46.11127400613755
wine,3,1.0,1301.8134370961868,98.19853142896102,46.03483430656405
wine,3,2.0,1301.8134370961868,65.69492512926135,46.03483430656405
wine,3,3.0,1401.7509274641834,57.823564958148744,46.03483386171445
wine,3,4.0,1301.8134370959974,58.32790211683401,45.89914161744966
breast_cancer,3,0.0,2706.8055397091084,501.60422435767373,352.15677402117495
breast_cancer,3,1.0,2930.082866642663,462.63219239957243,351.1791436117743
breast_cancer,3,2.0,3217.870687600797,430.3474462721449,350.89119980677486
breast_cancer,3,3.0,3852.9699583810357,418.43241815018285,350.65426662525294
breast_cancer,3,4.0,3852.9699583810357,416.92963407864573,350.65426662525294
breast_cancer,3,0.0,2481.5886433200126,552.4945920905989,361.091184545349
breast_cancer,3,1.0,3579.149586240968,515.7735108673238,361.05773445793426
