nnet,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,3.6279,1.4805,13.7481,6.5889,0.0044,0.0018
RandomNN,2.2015,0.2258,2.195,0.2486,0.0063,0.0018
AnnealedNN,4.5483,2.4019,6.9243,3.9005,0.3576,0.0941
StrategyNN,1.9239,0.0357,1.9501,0.0773,55.2781,2.8636
GeneticNN,1.7685,0.0903,1.801,0.1244,73.4908,4.5724
