dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
wine,StrategyNN,2.45505142922275,2.4467159224691097,25.84099864959717,5,5.0,3.0
wine,StrategyNN,1.9887874674002142,1.9837105525331693,29.23903203010559,5,5.0,4.0
breast_cancer,StrategyNN,1.7459771266588784,1.7246650826717138,3.4555249214172363,5,5.0,0.0
breast_cancer,StrategyNN,1.3434571165828733,1.305019461650288,3.5026280879974365,5,5.0,1.0
breast_cancer,StrategyNN,1.3851587404256356,1.3929221820477844,3.4966766834259038,5,5.0,2.0
breast_cancer,StrategyNN,1.593798259715721,1.5569006397736596,3.6131665706634517,5,5.0,3.0
breast_cancer,StrategyNN,1.8454525001236892,1.858928037090671,3.3911709785461426,5,5.0,4.0
heart,StrategyNN,4.285178816387293,4.298249393321743,4.125952959060669,5,5.0,0.0
heart,StrategyNN,3.245494704103236,3.174368355790282,4.4557623863220215,5,5.0,1.0
heart,StrategyNN,4.062286121864541,3.900181466027232,4.359653711318971,5,5.0,2.0
heart,StrategyNN,2.547741906561296,2.7771770923479835,4.232560873031616,5,5.0,3.0
heart,StrategyNN,3.302415027256312,3.2117792461160266,4.678476333618164,5,5.0,4.0
iris,StrategyNN,1.8926814625085888,1.9250881274139453,22.488484144210812,5,5.0,0.0
iris,StrategyNN,2.364647957986164,2.4722279320183844,22.77561831474304,5,5.0,1.0
iris,StrategyNN,2.166360265014633,2.102289492495455,22.544960737228394,5,5.0,2.0
iris,StrategyNN,1.977920198104815,2.086663979682468,22.915929555892944,5,5.0,3.0
iris,StrategyNN,3.2898438205514946,3.4195133342987893,20.911130428314213,5,5.0,4.0
wine,StrategyNN,2.0919780368466445,2.1667657167515206,27.934610843658447,5,5.0,0.0
wine,StrategyNN,2.0202343477563915,1.96627699360382,26.172691822052002,5,5.0,1.0
wine,StrategyNN,1.988113099181712,1.9877651342742115,29.03886604309082,5,5.0,2.0
wine,StrategyNN,2.193534608865531,2.1583266329189654,28.171036958694454,5,5.0,3.0
wine,StrategyNN,2.1473943707065484,2.251882255634136,29.686882734298703,5,5.0,4.0
breast_cancer,StrategyNN,1.2774718254874682,1.3068907803359016,3.4449501037597656,5,5.0,0.0
breast_cancer,StrategyNN,2.0153228545348654,2.0320788986780585,3.432739734649658,5,5.0,1.0
breast_cancer,StrategyNN,1.303031935660915,1.3041870615676383,3.82731556892395,5,5.0,2.0
breast_cancer,StrategyNN,1.7375340700870905,1.7336289117417785,3.973048686981201,5,5.0,3.0
breast_cancer,StrategyNN,1.1275950869991669,1.0715339213130457,3.3194174766540527,5,5.0,4.0
heart,StrategyNN,2.7185068281376434,2.7494698921710685,4.2627007961273184,5,5.0,0.0
heart,StrategyNN,2.82392938940229,2.7577928832796426,4.3082358837127686,5,5.0,1.0
heart,StrategyNN,4.365719426629449,4.475684746352559,4.0029680728912345,5,5.0,2.0
heart,StrategyNN,2.2506111243298186,2.3186436340507024,4.214230537414552,5,5.0,3.0
heart,StrategyNN,2.8087233100361426,2.7134242625621265,4.436442613601685,5,5.0,4.0
iris,StrategyNN,2.008237968718003,1.933914718964863,20.09959626197815,5,5.0,0.0
iris,StrategyNN,2.038567597891974,2.003619694238466,22.60777497291565,5,5.0,1.0
iris,StrategyNN,2.0072850623697898,2.033086848971137,24.25537633895874,5,5.0,2.0
iris,StrategyNN,1.9733435119560552,1.8083232834214624,22.99967384338379,5,5.0,3.0
iris,StrategyNN,1.9264521084125172,2.074564406489723,21.216995000839233,5,5.0,4.0
wine,StrategyNN,2.4886076470230534,2.557248905590602,26.74302315711975,5,5.0,0.0
wine,StrategyNN,2.0776058663439088,1.9752737172063648,27.6159143447876,5,5.0,1.0
wine,StrategyNN,2.0266541330900583,1.988624101244828,28.137606859207157,5,5.0,2.0
wine,StrategyNN,1.910138238970141,2.065040939476054,29.165683269500732,5,5.0,3.0
wine,StrategyNN,2.0366249166425727,2.0889249020495044,27.866259574890137,5,5.0,4.0
breast_cancer,StrategyNN,1.3933510705697958,1.3875859971009017,4.003463745117188,5,5.0,0.0
breast_cancer,StrategyNN,1.5096627092292028,1.5152752809191972,4.147639036178589,5,5.0,1.0
breast_cancer,StrategyNN,1.3760755477984157,1.3734538677997872,3.792269229888916,5,5.0,2.0
breast_cancer,StrategyNN,1.5049687734002408,1.5401330529176056,3.4561636447906494,5,5.0,3.0
breast_cancer,StrategyNN,2.087105687438186,2.2426350145788327,3.5331537723541264,5,5.0,4.0
heart,StrategyNN,2.4940347974521107,2.3251333954815543,4.36525821685791,5,5.0,0.0
heart,StrategyNN,4.109618731091686,4.190550548330909,4.020495414733887,5,5.0,1.0
heart,StrategyNN,3.402431296424393,3.3138002786268013,4.17860746383667,5,5.0,2.0
heart,StrategyNN,4.9571127501801024,4.96555808561437,4.1510024070739755,5,5.0,3.0
heart,StrategyNN,4.613102527091319,4.679996866878613,4.706929922103882,5,5.0,4.0
iris,StrategyNN,1.9489346536094896,1.9615278448965243,23.487043619155887,5,5.0,0.0
iris,StrategyNN,2.288331932655655,2.1850615288556288,21.556747674942017,5,5.0,1.0
iris,StrategyNN,1.9972563307521247,2.0316465074881678,22.390965223312374,5,5.0,2.0
iris,StrategyNN,2.0161626675379694,1.9701978951558592,22.79890918731689,5,5.0,3.0
iris,StrategyNN,3.097793419192123,3.175976436457292,20.330302476882935,5,5.0,4.0
wine,StrategyNN,2.259678759451356,2.1592009213230834,26.68000316619873,5,5.0,0.0
wine,StrategyNN,2.099134916359666,1.9709800821437224,26.28589367866516,5,5.0,1.0
wine,StrategyNN,2.162634687139283,2.126012262221958,25.84419322013855,5,5.0,2.0
wine,StrategyNN,2.578367863301486,2.569369141806681,26.73890447616577,5,5.0,3.0
wine,StrategyNN,1.9915862538170443,1.9790636316505237,28.635782957077023,5,5.0,4.0
breast_cancer,StrategyNN,1.5244606521555142,1.5268035939934608,3.6046783924102783,5,5.0,0.0
breast_cancer,StrategyNN,1.5127612578436769,1.5316854799160766,3.5625760555267334,5,5.0,1.0
breast_cancer,StrategyNN,1.3506343945536412,1.302768354806334,3.3775672912597656,5,5.0,2.0
breast_cancer,StrategyNN,1.5444572950800233,1.5393945999411351,3.306560516357422,5,5.0,3.0
breast_cancer,StrategyNN,1.4004126882751289,1.445212098555143,3.633458614349365,5,5.0,4.0
heart,StrategyNN,4.6779173778055885,4.74087216863822,4.357997417449951,5,5.0,0.0
heart,StrategyNN,2.398410763265686,2.416614560680652,4.271595478057861,5,5.0,1.0
heart,StrategyNN,3.8432936535584528,3.6424908901338067,4.540689468383789,5,5.0,2.0
heart,StrategyNN,5.26057202872189,5.283836878388369,3.900784969329834,5,5.0,3.0
heart,StrategyNN,3.1197122629865097,3.2707402440791697,4.485052824020387,5,5.0,4.0
iris,StrategyNN,2.109029022687864,2.205885457194366,24.176207780838013,5,5.0,0.0
iris,StrategyNN,2.0250279085352854,2.067271301643387,20.18055272102356,5,5.0,1.0
iris,StrategyNN,3.1814996715029036,3.24613263688935,23.766695976257324,5,5.0,2.0
