dataset,seed,epoch,fitness
iris,3,0.0,5.049746445209882
iris,3,1.0,2.8698325636232744
iris,3,2.0,2.8698325636232744
iris,3,3.0,2.8698325636232744
iris,3,4.0,2.8698325636232744
iris,3,0.0,3.6770693320734966
iris,3,1.0,9.23342678592066
iris,3,2.0,9.23342678592066
iris,3,3.0,3.4802413850262117
iris,3,4.0,3.3309590593573812
iris,3,0.0,4.124522745096615
iris,3,1.0,4.124522745096615
iris,3,2.0,4.124522745096615
iris,3,3.0,4.124522745096615
iris,3,4.0,12.054460071519497
iris,3,0.0,4.0528479827522945
iris,3,1.0,4.0528479827522945
iris,3,2.0,8.512122883220306
iris,3,3.0,7.829357647674738
iris,3,4.0,2.0413415641845907
iris,3,0.0,3.9677651848896756
iris,3,1.0,2.49407859734139
iris,3,2.0,8.699056945543472
iris,3,3.0,8.699056945543472
iris,3,4.0,8.699056945543472
wine,3,0.0,3.4590362883330354
wine,3,1.0,3.1200885572275863
wine,3,2.0,3.1200885572275863
wine,3,3.0,3.1200885572275863
wine,3,4.0,3.1200885572275863
wine,3,0.0,5.811802281937716
wine,3,1.0,4.770622934669465
wine,3,2.0,4.770622934669465
wine,3,3.0,4.770622934669465
wine,3,4.0,3.6701144685241305
wine,3,0.0,2.7784952640670353
wine,3,1.0,2.179169394541916
wine,3,2.0,3.0390611677896437
wine,3,3.0,2.3884974100943928
wine,3,4.0,2.3884974100943928
wine,3,0.0,3.8882580167801963
wine,3,1.0,3.3201950669801823
wine,3,2.0,3.3201950669801823
wine,3,3.0,3.092119684711965
wine,3,4.0,3.092119684711965
wine,3,0.0,6.016500168033156
wine,3,1.0,2.313375303732806
wine,3,2.0,2.313375303732806
wine,3,3.0,2.313375303732806
wine,3,4.0,2.313375303732806
breast_cancer,3,0.0,2.911777102332035
breast_cancer,3,1.0,2.4270748141946514
breast_cancer,3,2.0,2.4270748141946514
breast_cancer,3,3.0,2.4270748141946514
breast_cancer,3,4.0,2.4270748141946514
breast_cancer,3,0.0,7.031143292459147
breast_cancer,3,1.0,4.106872592838208
breast_cancer,3,2.0,4.106872592838208
breast_cancer,3,3.0,4.106872592838208
breast_cancer,3,4.0,2.453397696092154
breast_cancer,3,0.0,1.3750499419384894
breast_cancer,3,1.0,1.3750499419384894
breast_cancer,3,2.0,1.3750499419384894
breast_cancer,3,3.0,1.3750499419384894
breast_cancer,3,4.0,1.3750499419384894
breast_cancer,3,0.0,1.5807890454798925
breast_cancer,3,1.0,1.5807890454798925
breast_cancer,3,2.0,1.5807890454798925
breast_cancer,3,3.0,1.539875423361011
breast_cancer,3,4.0,1.539875423361011
breast_cancer,3,0.0,1.7060795783683065
breast_cancer,3,1.0,1.7060795783683065
breast_cancer,3,2.0,1.7060795783683065
breast_cancer,3,3.0,1.7060795783683065
breast_cancer,3,4.0,1.7060795783683065
heart,3,0.0,21.876790834080484
heart,3,1.0,14.994801573871221
heart,3,2.0,9.394610927908694
heart,3,3.0,6.1206512972856695
heart,3,4.0,6.1206512972856695
heart,3,0.0,5.19383113044278
heart,3,1.0,5.19383113044278
heart,3,2.0,12.359880723035976
heart,3,3.0,12.359880723035976
heart,3,4.0,11.487091547991328
heart,3,0.0,8.655799531719474
