group1,group2,meandiff,p-adj,lower,upper,reject
basic_training,es_training,-1.0375,0.001,-1.2709,-0.8041,True
basic_training,ga_training,-1.5925,0.001,-1.8258,-1.3591,True
basic_training,randomnn_training,-1.0368,0.001,-1.2702,-0.8034,True
basic_training,sa_training,0.413,0.001,0.1797,0.6464,True
es_training,ga_training,-0.555,0.001,-0.7883,-0.3216,True
es_training,randomnn_training,0.0007,0.9,-0.2326,0.2341,False
es_training,sa_training,1.4505,0.001,1.2172,1.6839,True
ga_training,randomnn_training,0.5557,0.001,0.3223,0.789,True
ga_training,sa_training,2.0055,0.001,1.7721,2.2388,True
randomnn_training,sa_training,1.4498,0.001,1.2165,1.6832,True
