group1,group2,meandiff,p-adj,lower,upper,reject
basic_testing,es_testing,-6.6455,0.001,-7.1242,-6.1668,True
basic_testing,ga_testing,-6.9094,0.001,-7.3881,-6.4307,True
basic_testing,randomnn_testing,-6.3817,0.001,-6.8604,-5.903,True
basic_testing,sa_testing,-2.4684,0.001,-2.9471,-1.9897,True
es_testing,ga_testing,-0.2639,0.5515,-0.7426,0.2148,False
es_testing,randomnn_testing,0.2638,0.5519,-0.2149,0.7425,False
es_testing,sa_testing,4.177,0.001,3.6983,4.6557,True
ga_testing,randomnn_testing,0.5277,0.0222,0.049,1.0064,True
ga_testing,sa_testing,4.4409,0.001,3.9622,4.9196,True
randomnn_testing,sa_testing,3.9133,0.001,3.4346,4.392,True
