dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,0.0,6.814245695553982,2.7533151934401423,1.7567573890042312
iris,3,1.0,9.827252266598316,2.6394071950831943,1.7567566011633486
iris,3,2.0,9.829562591274914,2.4444456248325372,1.705137811092871
iris,3,3.0,9.95176278324149,2.309069813677178,1.705137811092871
iris,3,4.0,9.363659806629268,2.3750906276378068,1.6347076832197767
iris,3,5.0,8.282749254755435,2.212491131299213,1.6332579437442267
iris,3,6.0,8.282749254755435,2.2469677110417328,1.60567312239351
iris,3,7.0,13.277481194752154,2.2472009932431507,1.587907581929187
iris,3,8.0,8.30650362269458,2.3323985245265697,1.587907581929187
iris,3,9.0,8.580693643859785,2.253369076359042,1.5835006477110771
iris,3,0.0,5.889159888425627,2.8220425404868723,1.7840377129839984
iris,3,1.0,9.563541831871229,2.6538677370117676,1.7582730668347784
iris,3,2.0,9.563541831871229,2.3283913541641112,1.5880714749407947
iris,3,3.0,9.607056919808903,2.295585544236837,1.5880714749407947
iris,3,4.0,11.062532447716524,2.268010189116304,1.4927808284552224
iris,3,5.0,11.0644743228403,2.2506256549795784,1.4927808284552224
iris,3,6.0,11.0644743228403,2.2399728026635954,1.4126446552719676
iris,3,7.0,13.71970762571576,2.2046853845102916,1.4126446552719676
iris,3,8.0,13.718997809457411,2.283324716886957,1.3798126161882593
iris,3,9.0,13.245969151972648,2.3691274965307834,1.3489260444065516
iris,3,0.0,6.776506506877715,2.8872212716581505,1.946840848909983
iris,3,1.0,7.984481649512605,2.547708808747645,1.8124760909664275
iris,3,2.0,7.976048186074576,2.3668498983169357,1.8124760909664275
iris,3,3.0,7.08073550185861,2.3642996076123826,1.8124760909664275
iris,3,4.0,8.415285175210533,2.3642996076123826,1.797677348870808
iris,3,5.0,8.415285175210533,2.2491051383052527,1.7655034513356251
iris,3,6.0,8.584886028081293,2.221143164843051,1.6666932695589587
iris,3,7.0,9.493808979104903,2.248778483813639,1.6656612768646994
iris,3,8.0,13.28706839110116,2.2314005161839967,1.5383124365253924
iris,3,9.0,8.99275767474592,2.2216578495627477,1.5383124365253924
iris,3,0.0,5.195784363258798,2.6987419896778437,1.819178362623792
iris,3,1.0,6.330217022436401,2.74825507179472,1.819178362623792
iris,3,2.0,7.884904381393467,2.4295418961431587,1.8183081736435365
iris,3,3.0,8.929442661418426,2.396927131477641,1.7031942859588327
