dataset,seed,epoch,fitness
iris,3,0.0,319.3270746232618
iris,3,1.0,67.86497906376519
iris,3,2.0,111.66809107451536
iris,3,3.0,61.28943587439606
iris,3,4.0,57.365803209309874
iris,3,5.0,39.94349292099329
iris,3,6.0,31.919537344812838
iris,3,7.0,25.239758278782517
iris,3,8.0,16.44516734127709
iris,3,9.0,10.39158851770209
iris,3,0.0,582.9054216682246
iris,3,1.0,76.42480172416515
iris,3,2.0,214.6713007986243
iris,3,3.0,100.94609804396778
iris,3,4.0,114.62096444644177
iris,3,5.0,66.6368790223704
iris,3,6.0,53.099719951184944
iris,3,7.0,36.78511637904646
iris,3,8.0,27.113765751318457
iris,3,9.0,14.142415363285986
iris,3,0.0,293.02600832642446
iris,3,1.0,46.23038784703006
iris,3,2.0,128.553941714095
iris,3,3.0,61.422987063166055
iris,3,4.0,62.32131862295129
iris,3,5.0,37.02718360462073
iris,3,6.0,28.85264376841848
iris,3,7.0,20.739125086860792
iris,3,8.0,16.2604446442931
iris,3,9.0,13.302979801574383
iris,3,0.0,243.69672928203468
iris,3,1.0,118.892456844055
iris,3,2.0,108.67139037676901
iris,3,3.0,74.39793818687455
iris,3,4.0,60.01095903897707
iris,3,5.0,43.37081551558998
iris,3,6.0,34.697698120468445
iris,3,7.0,24.00352017045112
iris,3,8.0,16.24175142840425
iris,3,9.0,11.995678987824176
iris,3,0.0,92.27636974290392
iris,3,1.0,175.62431086181897
iris,3,2.0,107.69837779710254
iris,3,3.0,108.10511337145752
iris,3,4.0,74.29633044472891
iris,3,5.0,63.37049096274045
iris,3,6.0,50.53953950649655
iris,3,7.0,35.692583254214156
iris,3,8.0,27.488083258784375
iris,3,9.0,21.924784465183308
wine,3,0.0,126.126525944787
wine,3,1.0,15.355019333730601
wine,3,2.0,21.81300173416336
wine,3,3.0,15.652476792487512
wine,3,4.0,15.523391212692028
wine,3,5.0,14.818271516342145
wine,3,6.0,14.666728673198735
wine,3,7.0,14.540270752952445
wine,3,8.0,14.546289513997085
wine,3,9.0,14.546264534202772
wine,3,0.0,36.91262953330135
wine,3,1.0,56.44936824453001
wine,3,2.0,34.753895927767786
wine,3,3.0,34.45993329084282
wine,3,4.0,33.68200593809613
wine,3,5.0,33.746401888109254
wine,3,6.0,33.63159577501998
wine,3,7.0,33.64288004023507
wine,3,8.0,33.53724056290789
wine,3,9.0,33.56016201945354
wine,3,0.0,280.664900515489
wine,3,1.0,164.0648622142669
wine,3,2.0,123.68602031151522
wine,3,3.0,84.74404685667615
wine,3,4.0,72.55263388236227
wine,3,5.0,61.850489780664454
wine,3,6.0,51.93417387524623
wine,3,7.0,48.31813120219124
wine,3,8.0,42.755322637187156
wine,3,9.0,39.17498310981859
wine,3,0.0,50.44024747163822
wine,3,1.0,112.14583576496858
wine,3,2.0,73.5801128258135
wine,3,3.0,70.5984088894489
wine,3,4.0,53.24756951270714
wine,3,5.0,38.69122041849635
wine,3,6.0,36.34680729882599
wine,3,7.0,30.233798686817725
wine,3,8.0,28.841858652551366
wine,3,9.0,28.34771242871834
wine,3,0.0,60.16602792655138
wine,3,1.0,45.90104838141636
wine,3,2.0,47.14066856974809
wine,3,3.0,47.678975165627534
wine,3,4.0,45.966244691811305
wine,3,5.0,49.16948209834985
wine,3,6.0,46.18273507974745
wine,3,7.0,49.7860463331301
wine,3,8.0,45.96540647194318
wine,3,9.0,48.693798953880766
breast_cancer,3,0.0,459.33107114123555
breast_cancer,3,1.0,456.32046739950164
breast_cancer,3,2.0,420.84353472124286
breast_cancer,3,3.0,391.973748049379
breast_cancer,3,4.0,368.03275971430844
breast_cancer,3,5.0,359.64726657369465
breast_cancer,3,6.0,354.7544742429958
breast_cancer,3,7.0,351.41223762583553
breast_cancer,3,8.0,350.5111067562923
breast_cancer,3,9.0,352.16847682711926
breast_cancer,3,0.0,380.3087620696817
breast_cancer,3,1.0,376.3596347896746
breast_cancer,3,2.0,371.30648410259994
breast_cancer,3,3.0,368.78763799527457
breast_cancer,3,4.0,373.3063787819339
breast_cancer,3,5.0,364.50913516539373
breast_cancer,3,6.0,363.9349374867723
breast_cancer,3,7.0,360.93118531617966
breast_cancer,3,8.0,361.76117142607984
breast_cancer,3,9.0,364.42840690214894
breast_cancer,3,0.0,965.8212162608171
breast_cancer,3,1.0,530.621920987471
breast_cancer,3,2.0,631.5972046653792
breast_cancer,3,3.0,471.27855197896986
breast_cancer,3,4.0,437.54330960927365
breast_cancer,3,5.0,386.2711524838887
breast_cancer,3,6.0,375.81241923724025
breast_cancer,3,7.0,362.81075000357606
breast_cancer,3,8.0,382.52998543975605
breast_cancer,3,9.0,359.41317898165454
breast_cancer,3,0.0,851.6847954718386
breast_cancer,3,1.0,561.7835630977372
breast_cancer,3,2.0,576.4032582251853
breast_cancer,3,3.0,481.33286608474157
breast_cancer,3,4.0,415.89488293318476
breast_cancer,3,5.0,388.95688356979474
breast_cancer,3,6.0,366.1669613396631
breast_cancer,3,7.0,357.88079589785775
breast_cancer,3,8.0,356.6329651905697
breast_cancer,3,9.0,358.9244593600897
breast_cancer,3,0.0,502.5330980384302
breast_cancer,3,1.0,393.41522753413227
breast_cancer,3,2.0,405.08747652350297
breast_cancer,3,3.0,372.9128381693982
breast_cancer,3,4.0,367.52411240809573
breast_cancer,3,5.0,358.3641184465158
breast_cancer,3,6.0,365.7050212828337
breast_cancer,3,7.0,357.8948312372842
breast_cancer,3,8.0,360.18386306665633
breast_cancer,3,9.0,356.7650911399167
heart,3,0.0,63.5290857872484
heart,3,1.0,193.19254211243683
heart,3,2.0,85.87613193977882
heart,3,3.0,102.18455962577112
heart,3,4.0,74.43275394120268
heart,3,5.0,63.135707343527166
heart,3,6.0,61.45946134198876
heart,3,7.0,61.379154415961295
heart,3,8.0,61.29420704352149
heart,3,9.0,61.60253980208792
heart,3,0.0,1048.728436380253
heart,3,1.0,325.0155496620232
heart,3,2.0,502.5686958964887
heart,3,3.0,281.4664738993326
heart,3,4.0,276.27786101559326
heart,3,5.0,190.6783783656476
heart,3,6.0,153.0193775057524
heart,3,7.0,116.00139038103043
heart,3,8.0,86.16458201964949
heart,3,9.0,65.71162737611283
heart,3,0.0,550.9690463769425
heart,3,1.0,119.86738274751593
heart,3,2.0,227.3232724667412
heart,3,3.0,126.37936079141996
heart,3,4.0,120.1458522664799
heart,3,5.0,78.56278492613417
heart,3,6.0,64.79847560550445
heart,3,7.0,44.29398495308736
heart,3,8.0,35.521741088710016
heart,3,9.0,31.540819314346788
heart,3,0.0,680.8921911644395
heart,3,1.0,680.9993940590275
heart,3,2.0,471.11732636663237
heart,3,3.0,447.5226160941561
heart,3,4.0,335.3917795875734
heart,3,5.0,302.17484903623404
heart,3,6.0,226.1122743141018
heart,3,7.0,177.86314636997142
heart,3,8.0,149.96633776172186
heart,3,9.0,133.11633933714663
heart,3,0.0,175.23973032260147
heart,3,1.0,115.05605578472905
heart,3,2.0,148.1200382542576
heart,3,3.0,117.82167192910357
heart,3,4.0,93.02376919491364
heart,3,5.0,39.237549737724216
heart,3,6.0,34.31953327392809
heart,3,7.0,24.730331107440325
heart,3,8.0,21.23644898287201
heart,3,9.0,17.825302258794
iris,17,0.0,161.91780276116143
iris,17,1.0,91.00852684583151
iris,17,2.0,96.13562554928801
iris,17,3.0,72.72282460244267
iris,17,4.0,53.391427500414586
iris,17,5.0,40.570463009888954
iris,17,6.0,31.21870968435178
iris,17,7.0,26.113260832074396
iris,17,8.0,23.62645654421361
iris,17,9.0,21.637673660315002
iris,17,0.0,70.92268959469261
iris,17,1.0,157.9517904844257
iris,17,2.0,75.89318605263206
iris,17,3.0,83.33522159727286
iris,17,4.0,52.089085708014494
iris,17,5.0,41.52236245982004
iris,17,6.0,29.508252109345737
iris,17,7.0,23.589731846975603
iris,17,8.0,14.198878213054897
iris,17,9.0,7.186314617663773
iris,17,0.0,2.813406846944827
iris,17,1.0,61.38756143832371
iris,17,2.0,14.41712683776486
iris,17,3.0,21.498181634511973
iris,17,4.0,10.448779789794116
iris,17,5.0,7.4806524673418995
iris,17,6.0,3.5869964685815927
iris,17,7.0,0.5800849088314306
iris,17,8.0,1.8532270958337687
iris,17,9.0,4.04510645061423
iris,17,0.0,18.105502945663737
iris,17,1.0,25.620325005628107
iris,17,2.0,17.784872326210166
iris,17,3.0,16.97843413612373
iris,17,4.0,15.137893138443618
iris,17,5.0,14.508749322934312
