dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,0.0,604.0076796261556,79.51967757912816,0.1711787307725757
iris,3,1.0,654.0194230491136,30.136585993795695,0.00032830438817560057
iris,3,2.0,1095.2622429202117,13.401963610559926,8.45957930636132e-05
iris,3,3.0,1100.2042474658003,8.371735033059373,8.45957930636132e-05
iris,3,4.0,1109.6138484190878,5.937981938184576,2.1305443880711057e-05
iris,3,5.0,1119.4504016844485,7.192540284870877,2.1044940255876553e-05
iris,3,6.0,1169.5715394767954,3.299699451321564,1.7353312387058396e-08
iris,3,7.0,1169.5715394767954,3.299699451321564,1.7787916325081217e-10
iris,3,8.0,1441.0988162834153,3.817853442771251,2.2681471515776744e-11
iris,3,9.0,1855.8206557024707,2.4416832373518202,2.2681471515776744e-11
iris,3,0.0,559.7517430604654,73.37018921392458,17.65494942491755
iris,3,1.0,1503.2541029643787,46.35261017411079,38.41002533290524
iris,3,2.0,643.2348254741175,32.05934413414282,76.12691600395175
iris,3,3.0,1481.863351008952,9.89083632526822,76.94759221245917
iris,3,4.0,1311.1140664997151,1.61395600505594,119.1906034717952
iris,3,5.0,2151.499813078931,6.2184748628415605,119.1906034717952
iris,3,6.0,2151.499813078931,9.147860987070711,119.1906034717952
iris,3,7.0,2531.611968367342,14.438533150928672,122.14759500514798
iris,3,8.0,2478.5633292823886,16.454851922373415,122.14759500514798
iris,3,9.0,2444.1330137966847,22.20896505120437,122.46542070865608
iris,3,0.0,853.6452462310025,65.3775638604943,10.1901685163976
iris,3,1.0,853.6452462310025,38.84068727033792,10.1901685163976
iris,3,2.0,1240.0998048400086,30.192833266668018,10.1901685163976
iris,3,3.0,1396.079414923531,25.342773836507284,10.181622471879654
iris,3,4.0,887.4294010301035,21.19985221673416,10.181622471879654
iris,3,5.0,908.2703798366746,20.444233354264153,10.177702728880304
iris,3,6.0,1486.2596576508367,17.414582063090478,10.177702728880304
iris,3,7.0,1888.324141627536,19.384630584749807,10.177340489121384
iris,3,8.0,1952.2123719442761,17.674440709014274,10.177340489121384
iris,3,9.0,1516.2436042151899,15.27780270828238,10.177338530558098
iris,3,0.0,843.6454602546689,81.7606244166648,5.933841177246535
iris,3,1.0,1232.871530504092,55.152746384798434,5.933841177246535
iris,3,2.0,1502.6030732689649,31.955205624715784,5.820914383125731
iris,3,3.0,1740.467484588108,24.267596478792832,5.820914383125731
iris,3,4.0,1798.1506154625833,17.857231763922364,5.7927673543430656
iris,3,5.0,1350.334451165284,18.492689682947937,5.7927673543430656
iris,3,6.0,1364.9998181583612,19.334833428481215,5.788316896848149
iris,3,7.0,1822.1861456397455,14.159157180443685,5.788316896848149
iris,3,8.0,1354.0291510295547,13.013141304966194,5.787395451549247
iris,3,9.0,1258.3633316059168,12.298825354595078,5.784563249572289
iris,3,0.0,596.7614031101951,107.63200770604485,5.815924041245026
iris,3,1.0,775.8858284787142,80.47174016941071,5.806605638621141
iris,3,2.0,1100.3751778933045,36.53664067152745,5.789227976341768
iris,3,3.0,927.2562241333833,20.34500294791851,5.789083636010462
iris,3,4.0,1051.3844966311417,12.53353918270548,5.788168572073444
iris,3,5.0,2080.4231005024967,12.353372326304335,5.788168572073444
iris,3,6.0,1746.4007147928212,10.507408257479867,5.786647490884214
iris,3,7.0,1471.8023955237204,9.290382305265785,5.786647490884214
