dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,0.0,420.5723258590602,79.7798925871427,6.005788775371724
iris,3,1.0,525.3595127192688,63.55668796147202,0.004201133399012254
iris,3,2.0,1188.6738968068648,59.66175746369919,0.0023357887238825963
iris,3,3.0,868.5745374237134,49.4974229041703,0.0002538358535119301
iris,3,4.0,1546.4926604210489,50.69341809340674,2.489556396341186e-05
iris,3,0.0,336.21876940112753,85.24972291457917,16.173967286974904
iris,3,1.0,1120.3078617132298,67.9041747239999,36.45011560396587
iris,3,2.0,1154.4519638771271,63.007410932159445,53.420751111102405
iris,3,3.0,1415.5420047837376,61.206195849377,63.528950093637995
iris,3,4.0,1352.658066480084,54.555507334769246,63.528950093637995
iris,3,0.0,421.54430617184823,85.03664770128796,16.540938342145438
iris,3,1.0,1007.684486589997,76.77931726603292,10.208667687897725
iris,3,2.0,1259.6164244085585,64.30519403294443,10.18551735055712
iris,3,3.0,1598.99733244727,67.06170690900608,10.175194630723604
iris,3,4.0,1295.1790359612146,64.43054626441227,10.172719300273242
iris,3,0.0,421.05085042516583,85.70539545050785,7.477144559809814
iris,3,1.0,1039.7864780986538,71.35235536943446,5.786553138063452
iris,3,2.0,1033.2871759943407,65.64744298138316,5.783692226570647
iris,3,3.0,1210.396406598022,66.48759570201018,5.7833197400092216
iris,3,4.0,1323.2072225901443,56.33275948992248,5.7833197400092216
iris,3,0.0,374.77167894361,82.0581174859212,6.894831448041613
iris,3,1.0,989.0173869904431,59.48382190116222,5.818023425616671
iris,3,2.0,989.0173869904431,56.18780313721364,5.7971033158309835
iris,3,3.0,1004.5274942734096,56.44785033931466,5.79488173338097
iris,3,4.0,1742.656277138338,56.69579027365148,5.783339841460465
wine,3,0.0,409.6430307664559,127.3548022754152,18.892245622404435
wine,3,1.0,506.5752365742155,100.622991325431,14.540885835856482
wine,3,2.0,1249.4133210801258,79.64675861997021,14.540885835856482
wine,3,3.0,1361.7243039937866,71.56539456962153,14.539728615168745
wine,3,4.0,1815.4624071443793,76.21016371753761,14.539728615168745
wine,3,0.0,464.03234197364395,90.86570738161022,33.54286380370483
wine,3,1.0,1158.5638931650954,73.09594859417003,33.536066638982064
wine,3,2.0,1128.388207109055,74.30686486763605,33.53602024061384
wine,3,3.0,1128.388207109055,73.09913521157799,33.53602024061384
wine,3,4.0,1673.9015672474238,72.14079585141027,33.53598733309798
wine,3,0.0,412.2607591202803,105.7804197459931,38.79186861338984
wine,3,1.0,1451.9808413249984,85.38242930137444,38.74395505029225
wine,3,2.0,1451.9808413249984,90.79117891042667,38.70520740178819
wine,3,3.0,1451.7346435915172,73.01058321061946,38.702431415838596
wine,3,4.0,1427.3347663048735,72.36333529134413,38.702431415838596
wine,3,0.0,337.6256476143497,92.46110722108926,27.94687186628869
wine,3,1.0,893.0557375626164,74.81510871398538,27.94687186628866
wine,3,2.0,1095.8199442082055,70.92009043667761,27.94687186482499
wine,3,3.0,1633.7253476680157,73.2502895985147,27.944458290260243
wine,3,4.0,1923.7163465635324,67.09703442703793,27.944349439204117
wine,3,0.0,413.5973462314544,118.05444940924983,45.85213389924685
wine,3,1.0,1284.7147799311113,96.55383362459581,45.851312152620835
wine,3,2.0,1303.1389838282685,87.74263584789225,45.84741770467344
wine,3,3.0,1303.1389838282685,78.45448232429698,45.83149408128137
wine,3,4.0,1964.31393388682,77.76001743409674,45.82544579553618
breast_cancer,3,0.0,1256.5705939033664,407.4735131161182,347.4016030550287
breast_cancer,3,1.0,2651.2861490190617,384.50986828333794,346.2378109194945
breast_cancer,3,2.0,3554.532151810433,377.34097033453577,346.2378109194945
breast_cancer,3,3.0,5356.607320573773,380.7114185937255,346.17210874336166
breast_cancer,3,4.0,5445.335315879542,376.6338010043437,346.17154418193246
breast_cancer,3,0.0,952.6730007705878,429.21816724390266,359.284354323639
breast_cancer,3,1.0,3146.951435726036,403.083457861995,358.74287139371165
breast_cancer,3,2.0,3147.4199620954364,394.01065914440187,358.72090092460996
breast_cancer,3,3.0,4548.3726812009145,396.63266285224336,358.71611716408717
breast_cancer,3,4.0,5774.334139709622,398.4407490832605,358.7151242438785
breast_cancer,3,0.0,1098.6556095421345,429.1600188036851,354.75785685323183
breast_cancer,3,1.0,3406.144276926641,429.87124128973505,354.70575912466387
