dataset,seed,epoch,fitness
iris,3,0.0,18.249302508514337
iris,3,1.0,58.091961419237954
iris,3,2.0,31.37021305842289
iris,3,3.0,36.23916682308017
iris,3,4.0,25.36308619931311
iris,3,0.0,45.89841630429939
iris,3,1.0,53.84104013445743
iris,3,2.0,37.225235153002366
iris,3,3.0,32.894860083117315
iris,3,4.0,22.613654798427525
iris,3,0.0,39.5497637905356
iris,3,1.0,30.706800786519967
iris,3,2.0,34.90198771791735
iris,3,3.0,27.75934377476394
iris,3,4.0,25.55037062388913
iris,3,0.0,154.66233286349683
iris,3,1.0,86.13136751979339
iris,3,2.0,101.22846682060688
iris,3,3.0,78.42683660026799
iris,3,4.0,69.84245904083136
iris,3,0.0,72.10771976657547
iris,3,1.0,143.44563865348658
iris,3,2.0,100.36058074165157
iris,3,3.0,104.962357459481
iris,3,4.0,83.4613079628169
wine,3,0.0,81.13584701771465
wine,3,1.0,93.97598481839984
wine,3,2.0,75.06922910809836
wine,3,3.0,72.67975550244816
wine,3,4.0,62.13451409346671
wine,3,0.0,44.55926817721888
wine,3,1.0,54.62906362245028
wine,3,2.0,47.158009228749876
wine,3,3.0,44.66058320186899
wine,3,4.0,39.852097417020765
wine,3,0.0,131.3968624667792
wine,3,1.0,77.76434165870145
wine,3,2.0,90.89841761081985
wine,3,3.0,73.92762296284778
wine,3,4.0,70.29787635088428
wine,3,0.0,90.36743265891977
wine,3,1.0,124.74744300137678
wine,3,2.0,84.48985580388693
wine,3,3.0,92.52369156946536
wine,3,4.0,72.68878924483258
wine,3,0.0,56.43896621381007
wine,3,1.0,118.21369794579752
wine,3,2.0,68.47943144149022
wine,3,3.0,77.17034103483934
wine,3,4.0,61.84095078782551
breast_cancer,3,0.0,487.53533024145435
breast_cancer,3,1.0,450.5590631114313
breast_cancer,3,2.0,428.9169699803234
breast_cancer,3,3.0,404.15435528931624
breast_cancer,3,4.0,382.7262219295911
breast_cancer,3,0.0,774.095982192233
breast_cancer,3,1.0,443.14043189565945
breast_cancer,3,2.0,502.76473064319373
breast_cancer,3,3.0,422.80519639480445
breast_cancer,3,4.0,411.9947405311175
breast_cancer,3,0.0,357.60595045467363
breast_cancer,3,1.0,359.6958439365235
breast_cancer,3,2.0,357.55810624657926
breast_cancer,3,3.0,357.3344505192464
breast_cancer,3,4.0,355.5542044841241
breast_cancer,3,0.0,455.1305268774928
breast_cancer,3,1.0,353.40612746008003
breast_cancer,3,2.0,369.2265168734618
breast_cancer,3,3.0,352.62966131051803
breast_cancer,3,4.0,352.7938919122298
breast_cancer,3,0.0,358.77905153207314
breast_cancer,3,1.0,355.8033384553258
breast_cancer,3,2.0,356.7917456278695
breast_cancer,3,3.0,357.1167986319147
breast_cancer,3,4.0,356.145659536477
heart,3,0.0,308.3225888179068
heart,3,1.0,289.5046035047027
heart,3,2.0,254.96578636806967
heart,3,3.0,230.11857504137026
heart,3,4.0,201.6591875262307
heart,3,0.0,374.36632879322224
heart,3,1.0,233.98549856951945
heart,3,2.0,264.35239558564115
heart,3,3.0,216.83035869961546
heart,3,4.0,192.87690014486284
heart,3,0.0,62.198937682454904
heart,3,1.0,148.60545190597722
heart,3,2.0,79.75287932332833
heart,3,3.0,88.20676697730842
heart,3,4.0,68.10929624585775
heart,3,0.0,107.52893559608567
heart,3,1.0,177.71119911895263
heart,3,2.0,126.3970067918223
heart,3,3.0,134.56435844854357
heart,3,4.0,118.03793903441615
heart,3,0.0,56.4516015674326
heart,3,1.0,83.12012525817016
heart,3,2.0,50.147504732697065
heart,3,3.0,50.15388979858043
heart,3,4.0,37.54655458165429
iris,17,0.0,320.19573980704035
iris,17,1.0,98.59359098966503
iris,17,2.0,161.14230038891404
iris,17,3.0,104.89356408461417
iris,17,4.0,105.56001684847327
iris,17,0.0,69.43170198762955
iris,17,1.0,77.61333511509281
iris,17,2.0,63.54592775803679
iris,17,3.0,53.132472762490444
iris,17,4.0,42.83351831785286
iris,17,0.0,22.344180482642237
iris,17,1.0,65.72719818786021
iris,17,2.0,33.19208504550345
iris,17,3.0,39.28555915860274
iris,17,4.0,26.77515007374261
iris,17,0.0,191.3741181289642
iris,17,1.0,172.8630810693669
iris,17,2.0,143.968388320704
iris,17,3.0,129.26444548263342
iris,17,4.0,111.64420318330278
iris,17,0.0,293.7168478540488
iris,17,1.0,113.42793401475019
iris,17,2.0,181.53204217645103
iris,17,3.0,123.93003112952
iris,17,4.0,125.78651441953282
wine,17,0.0,177.106435907496
wine,17,1.0,137.4295857970305
wine,17,2.0,134.56009332775022
wine,17,3.0,114.27389554376605
wine,17,4.0,104.01386016398708
wine,17,0.0,64.849802039654
wine,17,1.0,62.555718371814386
wine,17,2.0,57.69858434885689
wine,17,3.0,54.05469714312856
wine,17,4.0,52.29781773182605
wine,17,0.0,83.1685906823914
wine,17,1.0,76.12615584795694
wine,17,2.0,72.06578803479242
wine,17,3.0,63.85317990120654
wine,17,4.0,53.90973945253017
wine,17,0.0,51.31892272934358
wine,17,1.0,69.17891294527101
wine,17,2.0,54.66788796185133
wine,17,3.0,53.13647453934105
wine,17,4.0,45.95116898534065
wine,17,0.0,65.99498939041946
wine,17,1.0,142.47877494593388
wine,17,2.0,89.81951144729922
wine,17,3.0,97.27764010773063
wine,17,4.0,75.97877016319624
breast_cancer,17,0.0,827.0480241157055
breast_cancer,17,1.0,359.37733443340505
breast_cancer,17,2.0,462.26183155381943
breast_cancer,17,3.0,371.0077970334223
breast_cancer,17,4.0,378.75846959971227
breast_cancer,17,0.0,871.1411156188719
breast_cancer,17,1.0,373.3891667508211
breast_cancer,17,2.0,492.599624129332
breast_cancer,17,3.0,383.2251810750593
breast_cancer,17,4.0,392.68479784411966
breast_cancer,17,0.0,358.4832866901986
breast_cancer,17,1.0,430.88611552187774
breast_cancer,17,2.0,369.270569394352
breast_cancer,17,3.0,375.6409680262798
breast_cancer,17,4.0,355.75523904394333
breast_cancer,17,0.0,385.5704388236678
breast_cancer,17,1.0,487.62888625121684
breast_cancer,17,2.0,402.5081012162445
breast_cancer,17,3.0,402.83954700907435
breast_cancer,17,4.0,378.9077509258621
breast_cancer,17,0.0,399.4132511556015
breast_cancer,17,1.0,373.1111163289562
breast_cancer,17,2.0,355.6370405665952
breast_cancer,17,3.0,362.319360524001
breast_cancer,17,4.0,357.70221474966297
heart,17,0.0,143.7460879485015
heart,17,1.0,112.12540650074062
heart,17,2.0,120.985354079021
heart,17,3.0,98.77379416092198
heart,17,4.0,82.44025380129942
heart,17,0.0,676.5244715189215
heart,17,1.0,179.6351157345107
heart,17,2.0,350.06033089997374
heart,17,3.0,195.59876597714273
heart,17,4.0,221.67539707776183
heart,17,0.0,16.68235417040463
heart,17,1.0,128.9732751453576
heart,17,2.0,28.80043811740712
heart,17,3.0,44.2918705513361
heart,17,4.0,25.40886082286232
heart,17,0.0,94.03228742211697
heart,17,1.0,155.1994268277225
heart,17,2.0,106.11248011145173
heart,17,3.0,113.43959306451775
heart,17,4.0,97.72698727185046
heart,17,0.0,125.42890027939019
heart,17,1.0,156.08635840766345
heart,17,2.0,137.46020936496961
heart,17,3.0,131.03092901332326
heart,17,4.0,114.27932042125865
iris,101,0.0,51.67626016492899
iris,101,1.0,53.550119261208295
iris,101,2.0,43.72322929732282
iris,101,3.0,36.887626735633475
iris,101,4.0,29.619668462552177
iris,101,0.0,1.6646182557827889
iris,101,1.0,37.70824258024425
iris,101,2.0,5.542600871869338
iris,101,3.0,9.577113630588732
iris,101,4.0,1.203766691100366
iris,101,0.0,172.3760060506022
iris,101,1.0,33.22258505660281
iris,101,2.0,72.22211950870582
iris,101,3.0,40.015360513427446
iris,101,4.0,43.29584941579683
iris,101,0.0,72.09834511294589
iris,101,1.0,99.43211956090676
iris,101,2.0,78.02909290273145
iris,101,3.0,75.66926043299415
iris,101,4.0,62.06701897190914
iris,101,0.0,47.54169169224318
iris,101,1.0,83.87247634372558
iris,101,2.0,60.61708165759092
iris,101,3.0,63.736437547274896
iris,101,4.0,51.61454629356355
wine,101,0.0,83.50797808500191
wine,101,1.0,112.43946095176624
wine,101,2.0,87.69136642108882
wine,101,3.0,86.81003427085929
wine,101,4.0,74.68738011662946
wine,101,0.0,81.56705717941067
wine,101,1.0,73.23513076506055
wine,101,2.0,67.50236201864949
wine,101,3.0,58.732982993374826
wine,101,4.0,52.61228682704206
wine,101,0.0,183.41675576272837
wine,101,1.0,138.74685008877591
wine,101,2.0,142.73387739339046
wine,101,3.0,119.17556987942666
wine,101,4.0,107.3092677274177
wine,101,0.0,259.2763819483113
wine,101,1.0,123.51391506366394
wine,101,2.0,148.78583961414546
wine,101,3.0,106.13312161900735
wine,101,4.0,98.65112811436381
wine,101,0.0,49.517733999596715
wine,101,1.0,60.75750318912683
wine,101,2.0,49.5272071818167
wine,101,3.0,50.948439207872354
wine,101,4.0,46.2348598251108
breast_cancer,101,0.0,380.36274212728694
breast_cancer,101,1.0,360.0966546376347
breast_cancer,101,2.0,360.11692803697395
breast_cancer,101,3.0,358.25983175743306
breast_cancer,101,4.0,357.75162201733656
breast_cancer,101,0.0,365.7999947218742
breast_cancer,101,1.0,548.626283355716
breast_cancer,101,2.0,400.40699579659577
breast_cancer,101,3.0,417.7916240683833
breast_cancer,101,4.0,371.75193191519634
breast_cancer,101,0.0,449.94281954228865
breast_cancer,101,1.0,421.3219487068499
breast_cancer,101,2.0,401.71348242843385
breast_cancer,101,3.0,384.4403772192663
breast_cancer,101,4.0,369.26520709659553
breast_cancer,101,0.0,373.638540929428
breast_cancer,101,1.0,367.11900806675175
breast_cancer,101,2.0,356.4733003111931
