dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,0.0,8.744046235303838,2.738492685312065,1.7330021680975671
iris,3,1.0,8.744046235303838,2.536036798869193,1.732622378320963
iris,3,2.0,11.703500260613714,2.5622998414675555,1.7171622163230804
iris,3,3.0,11.703459113595915,2.4600030403913733,1.705825933470076
iris,3,4.0,11.749494797543484,2.3223779100393465,1.6473481411472124
iris,3,0.0,5.265945500359738,2.910093858788726,1.9162654897898748
iris,3,1.0,7.140335462078574,2.836051151962076,1.5270595916953256
iris,3,2.0,8.792500640402316,2.7818106861946963,1.5270595916953256
iris,3,3.0,7.8503243018841165,2.7344181497649,1.5082899255558535
iris,3,4.0,17.407422261512973,2.4916587625230604,1.5082899255558535
iris,3,0.0,5.8276961185740515,2.738537836685939,1.6257277577645315
iris,3,1.0,7.207807555980563,2.259236439889097,1.6257277577645315
iris,3,2.0,7.2990853287788084,2.2452304160676984,1.6257277577645315
iris,3,3.0,6.5952478619336885,2.1430478294711626,1.6257277577645315
iris,3,4.0,7.44370498460259,2.151091997821214,1.6110317892552823
iris,3,0.0,6.465348053595507,2.7402069309532076,1.7042246280503148
iris,3,1.0,10.688990059056609,2.663762847172144,1.7042246280503148
iris,3,2.0,8.163349870066112,2.440065033623578,1.7042246280503148
iris,3,3.0,7.577479796976868,2.3141298966496993,1.6545654895486768
iris,3,4.0,9.145286684976432,2.297889814764861,1.5997918277976297
iris,3,0.0,6.273245651016968,2.8347933715829146,1.853984958714606
iris,3,1.0,6.083731613201015,2.581182538183402,1.63508223507378
iris,3,2.0,5.681656173229925,2.354985758207518,1.63508223507378
iris,3,3.0,7.484345884290266,2.329064313348498,1.6126698523862226
iris,3,4.0,12.280177451470061,2.314469511901215,1.6126698523862226
wine,3,0.0,6.251382046846095,2.88816421162285,1.914627498367822
wine,3,1.0,7.451960651110186,2.604447099042161,1.9146274983447311
wine,3,2.0,8.874148131044343,2.5772079036058373,1.914627498324207
wine,3,3.0,7.884687067172081,2.457454116922938,1.914627498324207
wine,3,4.0,7.613315876368693,2.4475542711323435,1.8864078727875726
wine,3,0.0,6.091219598057152,2.9244137119360305,1.9387322384812873
wine,3,1.0,8.827580134031905,2.618517653605367,1.9387322384812873
wine,3,2.0,8.827580134031905,2.600491916082123,1.931144964020247
wine,3,3.0,6.971934652770881,2.3820031636079833,1.931144964020247
wine,3,4.0,10.586939850813057,2.225378411494305,1.7827691643332433
wine,3,0.0,8.27939225866678,2.8674932798159913,1.841560689837128
wine,3,1.0,11.828551168289225,2.6416928028586026,1.841560689837128
wine,3,2.0,11.828551163015028,2.4094422860126334,1.688486507279583
wine,3,3.0,8.27939225866678,2.283119936043741,1.688486507279583
wine,3,4.0,8.27939225866678,2.1786353433501815,1.688486507279583
wine,3,0.0,5.099115628183248,2.8762619149493,1.920733873818794
wine,3,1.0,6.725907874157149,2.590062482488025,1.920733873818794
wine,3,2.0,7.515350224030798,2.390755336752987,1.920733873818794
wine,3,3.0,7.515350224030798,2.336859632963212,1.8923285389542366
wine,3,4.0,7.862150356285106,2.3318624417777825,1.8923285389542366
wine,3,0.0,7.631497783774095,2.9358602069485045,1.93742816671652
wine,3,1.0,9.522338878631482,2.719543224148274,1.8961490106486567
wine,3,2.0,9.522338878631482,2.705582553380027,1.8722657064581347
wine,3,3.0,9.522338878631482,2.579490682826641,1.8722657064581347
wine,3,4.0,10.533099202136139,2.4059448688813223,1.8722657064581347
breast_cancer,3,0.0,5.708123209089467,1.806773809295295,1.1664857300623659
breast_cancer,3,1.0,4.587034155339835,1.6648289745312586,1.1358811098055166
breast_cancer,3,2.0,13.057053234189945,1.638673077511025,1.1358811098055166
breast_cancer,3,3.0,7.809413612327623,1.496585028528229,1.0927102660738042
breast_cancer,3,4.0,8.253050528622698,1.476445872277215,1.0927102660738042
breast_cancer,3,0.0,4.272433441009945,1.8255342407955883,1.2297203759641642
breast_cancer,3,1.0,6.676873459719835,1.6754141482987022,1.2297203759641642
breast_cancer,3,2.0,6.577938614958829,1.599301210403174,1.1850087287298836
breast_cancer,3,3.0,5.321634073452444,1.5679716414990728,1.1850087287298836
