dataset,seed,epoch,fitness
iris,3,0.0,3.002344360768732
iris,3,1.0,2.811747478136523
iris,3,2.0,3.1347816940936895
iris,3,3.0,3.6030034424904076
iris,3,4.0,3.6030034424904076
iris,3,0.0,3.7763244366817816
iris,3,1.0,3.358251620861959
iris,3,2.0,3.228764402435167
iris,3,3.0,3.228764402435167
iris,3,4.0,2.1161566546512622
iris,3,0.0,2.75460434816195
iris,3,1.0,3.240350184426674
iris,3,2.0,3.1460260980886154
iris,3,3.0,2.7892581856188565
iris,3,4.0,5.39593448565947
iris,3,0.0,4.462083539564825
iris,3,1.0,4.184695631461217
iris,3,2.0,4.183033364174168
iris,3,3.0,4.1221316917369295
iris,3,4.0,2.270244434900534
iris,3,0.0,4.158139470952388
iris,3,1.0,4.147177395044852
iris,3,2.0,3.2856836391539463
iris,3,3.0,3.4838871208657274
iris,3,4.0,3.4838871208657274
wine,3,0.0,2.694069352102516
wine,3,1.0,2.694069352102516
wine,3,2.0,2.694069352102516
wine,3,3.0,3.5865431627839817
wine,3,4.0,3.5865431627839817
wine,3,0.0,9.855829307820862
wine,3,1.0,5.278927151273959
wine,3,2.0,5.278927151273959
wine,3,3.0,2.802492835868046
wine,3,4.0,5.951449527900087
wine,3,0.0,4.171901305712278
wine,3,1.0,4.171901305712278
wine,3,2.0,4.967315540589189
wine,3,3.0,11.450291336737592
wine,3,4.0,11.450291177956261
wine,3,0.0,4.885511937280226
wine,3,1.0,3.2074303715262644
wine,3,2.0,3.1960782323123413
wine,3,3.0,3.353323974455939
wine,3,4.0,2.402089192392133
wine,3,0.0,4.1040271589089565
wine,3,1.0,5.6876973638100345
wine,3,2.0,7.9719587858682734
wine,3,3.0,7.864461194763377
wine,3,4.0,7.864461194763377
breast_cancer,3,0.0,2.5076363704000793
breast_cancer,3,1.0,2.10293410726364
breast_cancer,3,2.0,6.333100349582943
breast_cancer,3,3.0,8.113003919359974
breast_cancer,3,4.0,3.170664798624448
breast_cancer,3,0.0,1.6604856582926588
breast_cancer,3,1.0,1.6133297510826698
breast_cancer,3,2.0,1.6133297510826698
breast_cancer,3,3.0,1.6133297510826698
breast_cancer,3,4.0,1.5056910467619056
breast_cancer,3,0.0,5.945347394293756
breast_cancer,3,1.0,2.9374113835347706
breast_cancer,3,2.0,2.9374113835347706
breast_cancer,3,3.0,1.2578940658390676
breast_cancer,3,4.0,1.2578940658390676
breast_cancer,3,0.0,1.8907529383953225
breast_cancer,3,1.0,3.0995207324301917
breast_cancer,3,2.0,3.0995207324301917
breast_cancer,3,3.0,2.708762172052199
breast_cancer,3,4.0,1.8558906329797067
breast_cancer,3,0.0,1.685202913163309
breast_cancer,3,1.0,1.438973381601417
breast_cancer,3,2.0,1.438973381601417
breast_cancer,3,3.0,1.438973381601417
breast_cancer,3,4.0,5.170082863936718
heart,3,0.0,5.2334898727517665
heart,3,1.0,5.250557265692788
heart,3,2.0,5.250557183480727
heart,3,3.0,5.207285101450622
heart,3,4.0,7.926910090818949
heart,3,0.0,3.7535408373073644
heart,3,1.0,3.2390411066079836
heart,3,2.0,3.2390411066079836
heart,3,3.0,3.333715859883601
heart,3,4.0,3.32874802650945
heart,3,0.0,5.011730901591674
heart,3,1.0,6.582718490042149
heart,3,2.0,11.794700340362022
heart,3,3.0,7.601798499590115
heart,3,4.0,12.73254598037414
heart,3,0.0,7.124827025781924
heart,3,1.0,6.727296090466596
heart,3,2.0,6.727296090466596
heart,3,3.0,7.13026437222317
heart,3,4.0,7.13026437222317
heart,3,0.0,4.73798961621311
heart,3,1.0,13.311112566465136
heart,3,2.0,13.311112566465136
heart,3,3.0,17.88196118413498
heart,3,4.0,17.88196118413498
iris,17,0.0,3.785106046027304
iris,17,1.0,5.261439557559231
iris,17,2.0,3.1006128623782754
iris,17,3.0,3.1006128623782754
iris,17,4.0,3.0107660598338897
iris,17,0.0,3.275532367180237
iris,17,1.0,5.792684212484565
iris,17,2.0,3.026723571564428
iris,17,3.0,3.026723571564428
iris,17,4.0,2.0307132755645405
iris,17,0.0,8.045604960355575
iris,17,1.0,3.065019574513614
iris,17,2.0,3.065019574513614
iris,17,3.0,3.065019574513614
iris,17,4.0,3.065019574513614
iris,17,0.0,2.807123653869911
iris,17,1.0,2.7806644696072436
iris,17,2.0,4.128702472100866
iris,17,3.0,4.128702472100866
iris,17,4.0,4.29337738091824
iris,17,0.0,3.7640299549645193
iris,17,1.0,3.7640299549645193
iris,17,2.0,3.2828019406721562
iris,17,3.0,3.2828019406721562
iris,17,4.0,3.810763141310239
wine,17,0.0,4.447365761107004
wine,17,1.0,4.723091851952128
wine,17,2.0,8.008010356350939
wine,17,3.0,8.008010356350939
wine,17,4.0,6.725351457252925
wine,17,0.0,4.249740774258163
wine,17,1.0,4.249740774258163
wine,17,2.0,4.85848242026885
wine,17,3.0,3.996819489224238
wine,17,4.0,4.487221319101719
wine,17,0.0,4.146623784387248
wine,17,1.0,3.192381200956294
wine,17,2.0,2.2335122968437577
wine,17,3.0,3.445905198950935
wine,17,4.0,2.4568687908268267
wine,17,0.0,6.858518540049002
wine,17,1.0,2.711486299881597
wine,17,2.0,2.711486299881597
wine,17,3.0,3.8907634370070308
wine,17,4.0,3.871867344425404
wine,17,0.0,2.5561000894125447
wine,17,1.0,2.6005577780471394
wine,17,2.0,2.6005577780471394
wine,17,3.0,2.2166029652727763
wine,17,4.0,4.071636798501249
breast_cancer,17,0.0,5.766459539978575
breast_cancer,17,1.0,6.984904269357465
breast_cancer,17,2.0,6.460220999971793
breast_cancer,17,3.0,7.256053603291141
breast_cancer,17,4.0,6.407974455180191
breast_cancer,17,0.0,6.460439311992623
breast_cancer,17,1.0,8.03946183278403
breast_cancer,17,2.0,3.8804324220731212
breast_cancer,17,3.0,4.118403001258823
breast_cancer,17,4.0,5.472314671742231
breast_cancer,17,0.0,2.729197440269285
breast_cancer,17,1.0,3.7357840737274057
breast_cancer,17,2.0,6.432257773530476
breast_cancer,17,3.0,6.432257773530476
breast_cancer,17,4.0,10.651632244399982
breast_cancer,17,0.0,2.2625590762129018
breast_cancer,17,1.0,2.7708886463951834
breast_cancer,17,2.0,2.82732379478478
breast_cancer,17,3.0,5.77744936219531
breast_cancer,17,4.0,6.104835632518569
breast_cancer,17,0.0,1.9525789954853021
breast_cancer,17,1.0,2.922337588854988
breast_cancer,17,2.0,2.922337588854988
breast_cancer,17,3.0,2.922337588854988
