dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,GeneticNN,1.5624528205269508,1.5410600998014128,123.190908908844,5,10.0,0.0
iris,BasicNN,2.1522351321061537,2.531854157096538,0.002999544143676758,5,10.0,1.0
iris,RandomNN,2.0485202893753574,1.8311110111407853,0.010002613067626953,5,10.0,1.0
iris,AnnealedNN,2.668094993502185,9.014398176469575,0.03800463676452637,5,10.0,1.0
iris,StrategyNN,1.7009090898715538,1.7476379376938629,92.06124711036682,5,10.0,1.0
iris,GeneticNN,1.5661678999349646,1.7557797641758146,128.76464867591858,5,10.0,1.0
iris,BasicNN,2.6672612836941907,4.889305232042367,0.0040035247802734375,5,10.0,2.0
iris,RandomNN,1.9847373363295602,2.3792208583506103,0.011005163192749023,5,10.0,2.0
iris,AnnealedNN,7.569841622744231,7.78504898632482,0.0340123176574707,5,10.0,2.0
iris,StrategyNN,1.9311756866732726,1.9654361171552819,91.98514604568481,5,10.0,2.0
iris,GeneticNN,1.5286158966393955,1.4567088988278276,125.8246157169342,5,10.0,2.0
iris,BasicNN,2.292654660966745,3.5446254765756127,0.003999233245849609,5,10.0,3.0
iris,RandomNN,2.2230624973728235,2.240976370060937,0.013001680374145508,5,10.0,3.0
iris,AnnealedNN,2.1602325179380046,2.361977758573923,0.03400158882141113,5,10.0,3.0
iris,StrategyNN,1.8191961439374045,1.8425460214061944,94.85020279884338,5,10.0,3.0
iris,GeneticNN,1.5801446751367378,1.7924683161194004,116.48177337646484,5,10.0,3.0
iris,BasicNN,3.097523597459934,3.5403222179995097,0.0,5,10.0,4.0
iris,RandomNN,2.3525686159588957,2.368415732845117,0.009002923965454102,5,10.0,4.0
iris,AnnealedNN,2.90342186589484,3.271322561072125,0.03599953651428223,5,10.0,4.0
iris,StrategyNN,1.8869651672486483,1.8877253956603337,87.89270830154419,5,10.0,4.0
iris,GeneticNN,1.5563526928390652,1.5150247406995907,122.14022374153137,5,10.0,4.0
wine,BasicNN,3.111016178569184,10.963560973281819,0.0030002593994140625,5,10.0,0.0
wine,RandomNN,2.0353994103044246,1.8847753682896986,0.013001441955566406,5,10.0,0.0
wine,AnnealedNN,4.015925295573285,3.3154885457385834,0.03500056266784668,5,10.0,0.0
wine,StrategyNN,1.9260786781785206,1.9240184723511369,121.10445141792297,5,10.0,0.0
wine,GeneticNN,1.8890854666065877,1.9049502382855488,150.4588189125061,5,10.0,0.0
wine,BasicNN,3.355289940953982,5.800817747631656,0.0030007362365722656,5,10.0,1.0
wine,RandomNN,2.103819009166657,1.9602678881573237,0.011002063751220703,5,10.0,1.0
wine,AnnealedNN,4.209659979978954,4.751249133450394,0.034986257553100586,5,10.0,1.0
wine,StrategyNN,1.8891949154740977,1.9393862904943904,109.24591708183289,5,10.0,1.0
wine,GeneticNN,1.8952102933120718,1.9100634203410543,148.6939673423767,5,10.0,1.0
wine,BasicNN,3.0910938156434273,5.0128742422229156,0.0050008296966552734,5,10.0,2.0
wine,RandomNN,1.9864266080705908,2.029876977540104,0.01348114013671875,5,10.0,2.0
wine,AnnealedNN,8.086484457797038,6.51500540540944,0.03552985191345215,5,10.0,2.0
wine,StrategyNN,1.9380168749392919,1.9592154081689779,111.47893500328064,5,10.0,2.0
wine,GeneticNN,1.8965996423513152,1.8935759159891385,155.1057789325714,5,10.0,2.0
wine,BasicNN,4.798785853834589,10.134225338773744,0.004012346267700195,5,10.0,3.0
wine,RandomNN,2.3042476004390924,2.4030354105756735,0.014989137649536133,5,10.0,3.0
wine,AnnealedNN,5.097357521962972,11.63733101447519,0.037012577056884766,5,10.0,3.0
wine,StrategyNN,1.8960175061789617,1.9222926535235254,110.47860598564148,5,10.0,3.0
wine,GeneticNN,1.695657866272518,1.6382461517542546,155.59734916687012,5,10.0,3.0
wine,BasicNN,5.094784490543399,5.662697862267199,0.00599980354309082,5,10.0,4.0
wine,RandomNN,1.950913608934273,2.402712211138847,0.01499795913696289,5,10.0,4.0
wine,AnnealedNN,7.3984442312772,8.84711338780337,0.03600001335144043,5,10.0,4.0
wine,StrategyNN,1.8755857305677335,1.9768003490164248,117.65616416931152,5,10.0,4.0
